Temperature (C)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
25.000	0.10132	1.1452	0.87318	220.79	309.27	6.8353	0.74314	1.0413	352.07	2.1485	17.812	0.025735	vapor
27.836	0.10132	1.1344	0.88150	222.90	312.22	6.8452	0.74318	1.0414	353.74	2.1043	17.943	0.025924	vapor
30.673	0.10132	1.1238	0.88983	225.01	315.17	6.8549	0.74323	1.0414	355.40	2.0611	18.073	0.026113	vapor
33.509	0.10132	1.1134	0.89816	227.12	318.13	6.8646	0.74328	1.0414	357.06	2.0188	18.203	0.026302	vapor
36.346	0.10132	1.1032	0.90648	229.23	321.08	6.8742	0.74333	1.0414	358.71	1.9775	18.332	0.026490	vapor
39.182	0.10132	1.0931	0.91481	231.34	324.04	6.8837	0.74339	1.0415	360.34	1.9370	18.460	0.026677	vapor
42.018	0.10132	1.0833	0.92314	233.45	326.99	6.8931	0.74345	1.0415	361.97	1.8974	18.589	0.026863	vapor
44.855	0.10132	1.0736	0.93146	235.56	329.94	6.9024	0.74351	1.0415	363.60	1.8586	18.716	0.027049	vapor
47.691	0.10132	1.0641	0.93979	237.67	332.90	6.9117	0.74358	1.0416	365.21	1.8206	18.843	0.027234	vapor
50.528	0.10132	1.0547	0.94811	239.79	335.85	6.9208	0.74365	1.0416	366.82	1.7834	18.970	0.027419	vapor
53.364	0.10132	1.0455	0.95644	241.90	338.81	6.9299	0.74373	1.0417	368.42	1.7470	19.096	0.027603	vapor
56.201	0.10132	1.0365	0.96476	244.01	341.76	6.9389	0.74381	1.0417	370.01	1.7113	19.222	0.027787	vapor
59.037	0.10132	1.0277	0.97309	246.12	344.72	6.9479	0.74389	1.0418	371.60	1.6763	19.348	0.027970	vapor
61.873	0.10132	1.0189	0.98141	248.23	347.67	6.9567	0.74398	1.0419	373.18	1.6420	19.472	0.028152	vapor
64.710	0.10132	1.0104	0.98973	250.34	350.63	6.9655	0.74407	1.0419	374.75	1.6084	19.597	0.028334	vapor
67.546	0.10132	1.0019	0.99805	252.45	353.58	6.9742	0.74417	1.0420	376.31	1.5754	19.721	0.028515	vapor
70.383	0.10132	0.99366	1.0064	254.57	356.54	6.9829	0.74428	1.0421	377.87	1.5431	19.844	0.028696	vapor
73.219	0.10132	0.98551	1.0147	256.68	359.49	6.9914	0.74438	1.0422	379.42	1.5114	19.967	0.028877	vapor
76.055	0.10132	0.97750	1.0230	258.79	362.45	6.9999	0.74450	1.0423	380.96	1.4803	20.090	0.029056	vapor
78.892	0.10132	0.96961	1.0313	260.91	365.41	7.0084	0.74461	1.0424	382.50	1.4497	20.212	0.029236	vapor
81.728	0.10132	0.96185	1.0397	263.02	368.36	7.0167	0.74474	1.0425	384.03	1.4198	20.334	0.029415	vapor
84.565	0.10132	0.95421	1.0480	265.13	371.32	7.0250	0.74487	1.0426	385.55	1.3904	20.455	0.029593	vapor
87.401	0.10132	0.94669	1.0563	267.25	374.28	7.0333	0.74500	1.0427	387.07	1.3615	20.576	0.029771	vapor
90.238	0.10132	0.93929	1.0646	269.36	377.24	7.0414	0.74514	1.0428	388.58	1.3332	20.697	0.029949	vapor
93.074	0.10132	0.93201	1.0729	271.48	380.19	7.0496	0.74528	1.0430	390.09	1.3053	20.817	0.030126	vapor
95.910	0.10132	0.92484	1.0813	273.59	383.15	7.0576	0.74543	1.0431	391.58	1.2780	20.936	0.030303	vapor
98.747	0.10132	0.91778	1.0896	275.71	386.11	7.0656	0.74559	1.0432	393.07	1.2511	21.056	0.030479	vapor
101.58	0.10132	0.91082	1.0979	277.82	389.07	7.0735	0.74575	1.0434	394.56	1.2248	21.175	0.030655	vapor
104.42	0.10132	0.90397	1.1062	279.94	392.03	7.0814	0.74592	1.0435	396.04	1.1988	21.293	0.030830	vapor
107.26	0.10132	0.89722	1.1146	282.06	394.99	7.0892	0.74609	1.0437	397.51	1.1734	21.411	0.031005	vapor
110.09	0.10132	0.89058	1.1229	284.18	397.95	7.0969	0.74627	1.0439	398.97	1.1483	21.529	0.031180	vapor
112.93	0.10132	0.88403	1.1312	286.29	400.91	7.1046	0.74646	1.0440	400.43	1.1237	21.646	0.031355	vapor
115.77	0.10132	0.87757	1.1395	288.41	403.87	7.1123	0.74665	1.0442	401.89	1.0996	21.763	0.031529	vapor
118.60	0.10132	0.87121	1.1478	290.53	406.84	7.1199	0.74685	1.0444	403.34	1.0758	21.880	0.031702	vapor
121.44	0.10132	0.86494	1.1561	292.65	409.80	7.1274	0.74705	1.0446	404.78	1.0524	21.996	0.031876	vapor
124.27	0.10132	0.85876	1.1645	294.77	412.76	7.1349	0.74726	1.0448	406.22	1.0294	22.112	0.032049	vapor
127.11	0.10132	0.85267	1.1728	296.89	415.72	7.1423	0.74748	1.0450	407.65	1.0068	22.227	0.032221	vapor
129.95	0.10132	0.84667	1.1811	299.01	418.69	7.1497	0.74770	1.0452	409.07	0.98452	22.342	0.032394	vapor
132.78	0.10132	0.84075	1.1894	301.14	421.65	7.1570	0.74793	1.0454	410.49	0.96263	22.457	0.032566	vapor
135.62	0.10132	0.83491	1.1977	303.26	424.62	7.1643	0.74817	1.0456	411.90	0.94109	22.572	0.032737	vapor
138.46	0.10132	0.82915	1.2061	305.38	427.59	7.1715	0.74841	1.0459	413.31	0.91990	22.686	0.032909	vapor
141.29	0.10132	0.82347	1.2144	307.51	430.55	7.1787	0.74866	1.0461	414.71	0.89905	22.799	0.033080	vapor
144.13	0.10132	0.81787	1.2227	309.63	433.52	7.1859	0.74891	1.0463	416.11	0.87852	22.913	0.033251	vapor
146.97	0.10132	0.81234	1.2310	311.76	436.49	7.1930	0.74917	1.0466	417.50	0.85832	23.026	0.033422	vapor
149.80	0.10132	0.80689	1.2393	313.88	439.46	7.2000	0.74944	1.0469	418.89	0.83843	23.138	0.033592	vapor
152.64	0.10132	0.80151	1.2476	316.01	442.43	7.2070	0.74972	1.0471	420.27	0.81885	23.251	0.033762	vapor
155.48	0.10132	0.79621	1.2560	318.14	445.40	7.2139	0.75000	1.0474	421.64	0.79957	23.363	0.033932	vapor
158.31	0.10132	0.79097	1.2643	320.27	448.37	7.2209	0.75028	1.0477	423.01	0.78059	23.474	0.034102	vapor
161.15	0.10132	0.78580	1.2726	322.40	451.34	7.2277	0.75058	1.0480	424.38	0.76190	23.585	0.034271	vapor
163.98	0.10132	0.78070	1.2809	324.53	454.31	7.2345	0.75088	1.0483	425.74	0.74348	23.696	0.034440	vapor
166.82	0.10132	0.77566	1.2892	326.66	457.29	7.2413	0.75119	1.0485	427.09	0.72535	23.807	0.034609	vapor
169.66	0.10132	0.77069	1.2975	328.79	460.26	7.2481	0.75150	1.0489	428.44	0.70749	23.917	0.034778	vapor
172.49	0.10132	0.76578	1.3059	330.92	463.24	7.2548	0.75182	1.0492	429.78	0.68989	24.027	0.034946	vapor
175.33	0.10132	0.76094	1.3142	333.05	466.21	7.2614	0.75215	1.0495	431.12	0.67256	24.137	0.035115	vapor
178.17	0.10132	0.75615	1.3225	335.19	469.19	7.2680	0.75248	1.0498	432.45	0.65548	24.247	0.035283	vapor
181.00	0.10132	0.75143	1.3308	337.33	472.17	7.2746	0.75282	1.0501	433.78	0.63865	24.356	0.035451	vapor
183.84	0.10132	0.74676	1.3391	339.46	475.15	7.2812	0.75317	1.0505	435.11	0.62206	24.464	0.035619	vapor
186.68	0.10132	0.74215	1.3474	341.60	478.13	7.2877	0.75353	1.0508	436.43	0.60572	24.573	0.035786	vapor
189.51	0.10132	0.73760	1.3558	343.74	481.11	7.2941	0.75389	1.0512	437.74	0.58961	24.681	0.035954	vapor
192.35	0.10132	0.73310	1.3641	345.88	484.09	7.3005	0.75425	1.0515	439.05	0.57373	24.789	0.036121	vapor
195.18	0.10132	0.72866	1.3724	348.02	487.07	7.3069	0.75462	1.0519	440.35	0.55808	24.897	0.036288	vapor
198.02	0.10132	0.72427	1.3807	350.16	490.06	7.3133	0.75500	1.0523	441.65	0.54265	25.004	0.036455	vapor
200.86	0.10132	0.71994	1.3890	352.30	493.04	7.3196	0.75539	1.0527	442.95	0.52743	25.111	0.036621	vapor
203.69	0.10132	0.71565	1.3973	354.45	496.03	7.3259	0.75578	1.0530	444.24	0.51244	25.218	0.036788	vapor
206.53	0.10132	0.71142	1.4056	356.59	499.02	7.3321	0.75618	1.0534	445.53	0.49765	25.324	0.036954	vapor
209.37	0.10132	0.70724	1.4140	358.74	502.01	7.3383	0.75658	1.0538	446.81	0.48307	25.430	0.037121	vapor
212.20	0.10132	0.70310	1.4223	360.88	505.00	7.3445	0.75700	1.0542	448.08	0.46869	25.536	0.037287	vapor
215.04	0.10132	0.69901	1.4306	363.03	507.99	7.3507	0.75741	1.0547	449.35	0.45451	25.641	0.037453	vapor
217.88	0.10132	0.69498	1.4389	365.18	510.98	7.3568	0.75784	1.0551	450.62	0.44052	25.747	0.037619	vapor
220.71	0.10132	0.69098	1.4472	367.33	513.97	7.3629	0.75826	1.0555	451.89	0.42672	25.852	0.037785	vapor
223.55	0.10132	0.68704	1.4555	369.48	516.97	7.3689	0.75870	1.0559	453.14	0.41312	25.957	0.037950	vapor
226.39	0.10132	0.68313	1.4638	371.64	519.96	7.3749	0.75914	1.0564	454.40	0.39970	26.061	0.038116	vapor
229.22	0.10132	0.67928	1.4722	373.79	522.96	7.3809	0.75959	1.0568	455.65	0.38645	26.165	0.038281	vapor
232.06	0.10132	0.67546	1.4805	375.95	525.96	7.3868	0.76004	1.0572	456.89	0.37339	26.269	0.038446	vapor
234.89	0.10132	0.67169	1.4888	378.11	528.96	7.3928	0.76050	1.0577	458.14	0.36050	26.373	0.038611	vapor
237.73	0.10132	0.66796	1.4971	380.26	531.96	7.3987	0.76096	1.0582	459.37	0.34779	26.476	0.038777	vapor
240.57	0.10132	0.66427	1.5054	382.42	534.96	7.4045	0.76143	1.0586	460.61	0.33524	26.579	0.038941	vapor
243.40	0.10132	0.66062	1.5137	384.58	537.96	7.4104	0.76191	1.0591	461.84	0.32286	26.682	0.039106	vapor
246.24	0.10132	0.65701	1.5220	386.75	540.97	7.4162	0.76239	1.0596	463.06	0.31064	26.785	0.039271	vapor
249.08	0.10132	0.65344	1.5304	388.91	543.97	7.4219	0.76287	1.0600	464.28	0.29859	26.887	0.039436	vapor
251.91	0.10132	0.64991	1.5387	391.07	546.98	7.4277	0.76337	1.0605	465.50	0.28669	26.989	0.039600	vapor
254.75	0.10132	0.64642	1.5470	393.24	549.99	7.4334	0.76386	1.0610	466.71	0.27494	27.091	0.039765	vapor
257.59	0.10132	0.64296	1.5553	395.41	553.00	7.4391	0.76437	1.0615	467.92	0.26335	27.193	0.039929	vapor
260.42	0.10132	0.63955	1.5636	397.58	556.01	7.4447	0.76487	1.0620	469.12	0.25191	27.294	0.040093	vapor
263.26	0.10132	0.63616	1.5719	399.75	559.02	7.4504	0.76539	1.0625	470.32	0.24061	27.395	0.040257	vapor
266.10	0.10132	0.63282	1.5802	401.92	562.04	7.4560	0.76590	1.0630	471.52	0.22946	27.496	0.040421	vapor
268.93	0.10132	0.62951	1.5885	404.10	565.05	7.4615	0.76643	1.0636	472.71	0.21846	27.597	0.040585	vapor
271.77	0.10132	0.62623	1.5969	406.27	568.07	7.4671	0.76695	1.0641	473.90	0.20759	27.697	0.040749	vapor
274.60	0.10132	0.62298	1.6052	408.45	571.09	7.4726	0.76749	1.0646	475.09	0.19686	27.797	0.040913	vapor
277.44	0.10132	0.61978	1.6135	410.62	574.11	7.4781	0.76802	1.0652	476.27	0.18627	27.897	0.041077	vapor
280.28	0.10132	0.61660	1.6218	412.80	577.13	7.4836	0.76857	1.0657	477.45	0.17581	27.997	0.041240	vapor
283.11	0.10132	0.61345	1.6301	414.99	580.16	7.4890	0.76911	1.0662	478.62	0.16548	28.097	0.041404	vapor
285.95	0.10132	0.61034	1.6384	417.17	583.18	7.4945	0.76966	1.0668	479.79	0.15529	28.196	0.041568	vapor
288.79	0.10132	0.60726	1.6467	419.35	586.21	7.4999	0.77022	1.0673	480.96	0.14521	28.295	0.041731	vapor
291.62	0.10132	0.60421	1.6551	421.54	589.24	7.5052	0.77078	1.0679	482.12	0.13527	28.394	0.041894	vapor
294.46	0.10132	0.60119	1.6634	423.73	592.27	7.5106	0.77134	1.0684	483.28	0.12545	28.492	0.042058	vapor
297.30	0.10132	0.59820	1.6717	425.92	595.30	7.5159	0.77191	1.0690	484.43	0.11575	28.591	0.042221	vapor
300.13	0.10132	0.59524	1.6800	428.11	598.33	7.5212	0.77248	1.0696	485.59	0.10617	28.689	0.042384	vapor
302.97	0.10132	0.59231	1.6883	430.30	601.37	7.5265	0.77306	1.0702	486.74	0.096704	28.787	0.042547	vapor
305.81	0.10132	0.58941	1.6966	432.49	604.40	7.5318	0.77364	1.0707	487.88	0.087357	28.884	0.042710	vapor
