Temperature (C)	Pressure (bar)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
25.000	250.00	1008.0	0.00099207	102.95	127.75	0.36047	4.0592	4.1154	1538.3	-0.022065	885.80	0.61853	liquid
26.628	250.00	1007.5	0.00099254	109.64	134.45	0.38289	4.0541	4.1161	1542.7	-0.021967	854.88	0.62126	liquid
28.256	250.00	1007.0	0.00099303	116.33	141.15	0.40518	4.0488	4.1168	1546.9	-0.021870	825.68	0.62395	liquid
29.884	250.00	1006.5	0.00099354	123.02	147.86	0.42736	4.0434	4.1176	1550.9	-0.021774	798.06	0.62660	liquid
31.512	250.00	1006.0	0.00099407	129.71	154.56	0.44943	4.0378	4.1184	1554.7	-0.021681	771.91	0.62921	liquid
33.140	250.00	1005.4	0.00099462	136.40	161.27	0.47138	4.0321	4.1192	1558.4	-0.021588	747.12	0.63177	liquid
34.769	250.00	1004.8	0.00099519	143.09	167.97	0.49322	4.0262	4.1200	1561.8	-0.021497	723.61	0.63428	liquid
36.397	250.00	1004.2	0.00099578	149.79	174.68	0.51495	4.0203	4.1208	1565.1	-0.021407	701.27	0.63674	liquid
38.025	250.00	1003.6	0.00099639	156.48	181.39	0.53657	4.0141	4.1217	1568.3	-0.021318	680.04	0.63914	liquid
39.653	250.00	1003.0	0.00099701	163.18	188.10	0.55808	4.0079	4.1225	1571.3	-0.021229	659.84	0.64150	liquid
41.281	250.00	1002.4	0.00099766	169.87	194.81	0.57948	4.0016	4.1233	1574.1	-0.021142	640.59	0.64380	liquid
42.909	250.00	1001.7	0.00099832	176.57	201.53	0.60078	3.9951	4.1242	1576.7	-0.021056	622.26	0.64604	liquid
44.537	250.00	1001.0	0.00099899	183.27	208.24	0.62197	3.9885	4.1250	1579.2	-0.020971	604.76	0.64823	liquid
46.165	250.00	1000.3	0.00099969	189.97	214.96	0.64306	3.9819	4.1259	1581.6	-0.020886	588.06	0.65037	liquid
47.793	250.00	999.60	0.0010004	196.67	221.68	0.66404	3.9751	4.1267	1583.8	-0.020802	572.10	0.65245	liquid
49.421	250.00	998.87	0.0010011	203.37	228.40	0.68493	3.9683	4.1276	1585.9	-0.020718	556.85	0.65447	liquid
51.049	250.00	998.13	0.0010019	210.07	235.12	0.70571	3.9613	4.1285	1587.9	-0.020636	542.25	0.65643	liquid
52.677	250.00	997.37	0.0010026	216.77	241.84	0.72639	3.9543	4.1293	1589.7	-0.020553	528.27	0.65834	liquid
54.306	250.00	996.60	0.0010034	223.48	248.56	0.74698	3.9472	4.1302	1591.3	-0.020471	514.89	0.66020	liquid
55.934	250.00	995.81	0.0010042	230.18	255.29	0.76746	3.9401	4.1311	1592.9	-0.020390	502.05	0.66200	liquid
57.562	250.00	995.01	0.0010050	236.89	262.02	0.78785	3.9328	4.1320	1594.3	-0.020309	489.74	0.66375	liquid
59.190	250.00	994.20	0.0010058	243.60	268.74	0.80815	3.9255	4.1329	1595.6	-0.020228	477.92	0.66544	liquid
60.818	250.00	993.37	0.0010067	250.31	275.47	0.82835	3.9181	4.1338	1596.8	-0.020148	466.58	0.66708	liquid
62.446	250.00	992.52	0.0010075	257.02	282.20	0.84845	3.9107	4.1348	1597.9	-0.020067	455.67	0.66866	liquid
64.074	250.00	991.67	0.0010084	263.73	288.94	0.86847	3.9032	4.1357	1598.8	-0.019987	445.19	0.67019	liquid
65.702	250.00	990.80	0.0010093	270.44	295.67	0.88839	3.8957	4.1367	1599.7	-0.019908	435.11	0.67168	liquid
67.330	250.00	989.92	0.0010102	277.15	302.41	0.90822	3.8881	4.1376	1600.4	-0.019828	425.40	0.67311	liquid
68.958	250.00	989.02	0.0010111	283.87	309.14	0.92796	3.8805	4.1386	1601.0	-0.019748	416.06	0.67449	liquid
70.586	250.00	988.11	0.0010120	290.58	315.88	0.94761	3.8729	4.1396	1601.6	-0.019668	407.06	0.67583	liquid
72.214	250.00	987.19	0.0010130	297.30	322.62	0.96717	3.8652	4.1407	1602.0	-0.019589	398.39	0.67711	liquid
73.843	250.00	986.26	0.0010139	304.02	329.37	0.98665	3.8574	4.1417	1602.3	-0.019509	390.02	0.67835	liquid
75.471	250.00	985.31	0.0010149	310.74	336.11	1.0060	3.8497	4.1428	1602.5	-0.019429	381.96	0.67955	liquid
77.099	250.00	984.35	0.0010159	317.46	342.86	1.0253	3.8419	4.1438	1602.6	-0.019349	374.17	0.68070	liquid
78.727	250.00	983.38	0.0010169	324.18	349.60	1.0446	3.8341	4.1450	1602.6	-0.019269	366.66	0.68180	liquid
80.355	250.00	982.40	0.0010179	330.90	356.35	1.0637	3.8263	4.1461	1602.6	-0.019189	359.40	0.68287	liquid
81.983	250.00	981.41	0.0010189	337.63	363.10	1.0828	3.8184	4.1473	1602.4	-0.019109	352.39	0.68389	liquid
83.611	250.00	980.40	0.0010200	344.36	369.86	1.1017	3.8106	4.1484	1602.2	-0.019028	345.61	0.68487	liquid
85.239	250.00	979.38	0.0010211	351.08	376.61	1.1206	3.8027	4.1497	1601.8	-0.018947	339.06	0.68581	liquid
86.867	250.00	978.35	0.0010221	357.81	383.37	1.1394	3.7948	4.1509	1601.4	-0.018866	332.72	0.68671	liquid
88.495	250.00	977.31	0.0010232	364.55	390.13	1.1582	3.7869	4.1522	1600.9	-0.018785	326.59	0.68757	liquid
90.123	250.00	976.26	0.0010243	371.28	396.89	1.1768	3.7791	4.1535	1600.3	-0.018703	320.65	0.68839	liquid
91.751	250.00	975.20	0.0010254	378.02	403.65	1.1954	3.7712	4.1549	1599.6	-0.018621	314.90	0.68918	liquid
93.380	250.00	974.13	0.0010266	384.75	410.42	1.2139	3.7633	4.1562	1598.8	-0.018538	309.33	0.68993	liquid
95.008	250.00	973.04	0.0010277	391.49	417.18	1.2323	3.7554	4.1577	1598.0	-0.018455	303.94	0.69065	liquid
96.636	250.00	971.94	0.0010289	398.23	423.96	1.2507	3.7475	4.1591	1597.1	-0.018371	298.71	0.69133	liquid
98.264	250.00	970.84	0.0010300	404.98	430.73	1.2689	3.7396	4.1606	1596.0	-0.018287	293.64	0.69198	liquid
99.892	250.00	969.72	0.0010312	411.72	437.50	1.2871	3.7318	4.1622	1595.0	-0.018203	288.72	0.69260	liquid
