Temperature (C)	Pressure (bar)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
25.000	250.00	1008.0	0.00099207	102.95	127.75	0.36047	4.0592	4.1154	1538.3	-0.022065	885.80	0.61853	liquid
26.042	250.00	1007.7	0.00099237	107.23	132.04	0.37483	4.0560	4.1158	1541.1	-0.022002	865.81	0.62028	liquid
27.083	250.00	1007.4	0.00099267	111.51	136.32	0.38913	4.0526	4.1163	1543.9	-0.021939	846.55	0.62202	liquid
28.125	250.00	1007.1	0.00099299	115.79	140.61	0.40339	4.0493	4.1168	1546.6	-0.021878	827.97	0.62374	liquid
29.167	250.00	1006.7	0.00099331	120.07	144.90	0.41760	4.0458	4.1173	1549.2	-0.021816	810.04	0.62544	liquid
30.208	250.00	1006.4	0.00099364	124.35	149.19	0.43176	4.0423	4.1178	1551.7	-0.021756	792.74	0.62713	liquid
31.250	250.00	1006.1	0.00099398	128.63	153.48	0.44588	4.0387	4.1183	1554.1	-0.021696	776.03	0.62879	liquid
32.292	250.00	1005.7	0.00099433	132.91	157.77	0.45995	4.0351	4.1188	1556.5	-0.021636	759.88	0.63044	liquid
33.333	250.00	1005.3	0.00099469	137.19	162.06	0.47397	4.0314	4.1193	1558.8	-0.021577	744.27	0.63207	liquid
34.375	250.00	1005.0	0.00099505	141.48	166.35	0.48795	4.0277	4.1198	1561.0	-0.021519	729.18	0.63368	liquid
35.417	250.00	1004.6	0.00099542	145.76	170.64	0.50188	4.0239	4.1203	1563.2	-0.021461	714.58	0.63526	liquid
36.458	250.00	1004.2	0.00099580	150.04	174.94	0.51577	4.0200	4.1209	1565.3	-0.021403	700.45	0.63683	liquid
37.500	250.00	1003.8	0.00099619	154.32	179.23	0.52961	4.0161	4.1214	1567.3	-0.021346	686.77	0.63837	liquid
38.542	250.00	1003.4	0.00099658	158.61	183.52	0.54341	4.0122	4.1219	1569.2	-0.021289	673.51	0.63990	liquid
39.583	250.00	1003.0	0.00099699	162.89	187.82	0.55716	4.0082	4.1225	1571.1	-0.021233	660.68	0.64140	liquid
40.625	250.00	1002.6	0.00099739	167.18	192.11	0.57087	4.0041	4.1230	1573.0	-0.021177	648.23	0.64288	liquid
41.667	250.00	1002.2	0.00099781	171.46	196.41	0.58454	4.0000	4.1235	1574.7	-0.021122	636.17	0.64433	liquid
42.708	250.00	1001.8	0.00099823	175.75	200.70	0.59816	3.9959	4.1241	1576.4	-0.021067	624.47	0.64577	liquid
43.750	250.00	1001.3	0.00099866	180.03	205.00	0.61174	3.9917	4.1246	1578.0	-0.021012	613.12	0.64718	liquid
44.792	250.00	1000.9	0.00099910	184.32	209.29	0.62528	3.9875	4.1252	1579.6	-0.020957	602.10	0.64857	liquid
45.833	250.00	1000.5	0.00099955	188.60	213.59	0.63877	3.9833	4.1257	1581.1	-0.020903	591.40	0.64994	liquid
46.875	250.00	1000.0	0.0010000	192.89	217.89	0.65222	3.9790	4.1263	1582.6	-0.020849	581.01	0.65128	liquid
47.917	250.00	999.55	0.0010005	197.18	222.19	0.66563	3.9746	4.1268	1584.0	-0.020796	570.92	0.65260	liquid
48.958	250.00	999.08	0.0010009	201.46	226.49	0.67900	3.9702	4.1274	1585.3	-0.020742	561.11	0.65390	liquid
50.000	250.00	998.61	0.0010014	205.75	230.79	0.69233	3.9658	4.1279	1586.6	-0.020689	551.58	0.65517	liquid
51.042	250.00	998.13	0.0010019	210.04	235.09	0.70561	3.9614	4.1285	1587.8	-0.020636	542.32	0.65642	liquid
52.083	250.00	997.65	0.0010024	214.33	239.39	0.71886	3.9569	4.1290	1589.0	-0.020583	533.30	0.65765	liquid
53.125	250.00	997.16	0.0010028	218.62	243.69	0.73206	3.9524	4.1296	1590.1	-0.020531	524.54	0.65886	liquid
54.167	250.00	996.67	0.0010033	222.91	247.99	0.74523	3.9478	4.1302	1591.2	-0.020478	516.00	0.66004	liquid
55.208	250.00	996.17	0.0010038	227.20	252.29	0.75835	3.9433	4.1307	1592.2	-0.020426	507.70	0.66120	liquid
56.250	250.00	995.66	0.0010044	231.49	256.60	0.77143	3.9387	4.1313	1593.2	-0.020374	499.62	0.66234	liquid
57.292	250.00	995.15	0.0010049	235.78	260.90	0.78448	3.9340	4.1319	1594.1	-0.020322	491.75	0.66346	liquid
