Temperature (C)	Pressure (atm)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (F/atm)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
25.000	1.0000	997.05	0.0010030	104.82	104.92	0.36720	4.1376	4.1813	1496.7	-0.040392	0.00089008	0.60719	liquid
25.142	1.0000	997.01	0.0010030	105.41	105.51	0.36919	4.1370	4.1813	1497.1	-0.040375	0.00088722	0.60744	liquid
25.283	1.0000	996.97	0.0010030	106.00	106.10	0.37117	4.1364	4.1812	1497.5	-0.040358	0.00088437	0.60768	liquid
25.425	1.0000	996.94	0.0010031	106.60	106.70	0.37316	4.1359	4.1811	1497.8	-0.040340	0.00088154	0.60792	liquid
25.567	1.0000	996.90	0.0010031	107.19	107.29	0.37514	4.1353	4.1811	1498.2	-0.040323	0.00087872	0.60816	liquid
25.708	1.0000	996.86	0.0010031	107.78	107.88	0.37712	4.1348	4.1810	1498.6	-0.040306	0.00087591	0.60840	liquid
25.850	1.0000	996.83	0.0010032	108.37	108.47	0.37910	4.1342	4.1810	1498.9	-0.040289	0.00087312	0.60864	liquid
25.992	1.0000	996.79	0.0010032	108.96	109.07	0.38108	4.1336	4.1809	1499.3	-0.040271	0.00087034	0.60888	liquid
26.133	1.0000	996.75	0.0010033	109.56	109.66	0.38306	4.1331	4.1809	1499.7	-0.040254	0.00086758	0.60912	liquid
26.275	1.0000	996.71	0.0010033	110.15	110.25	0.38504	4.1325	4.1808	1500.1	-0.040237	0.00086483	0.60936	liquid
26.417	1.0000	996.67	0.0010033	110.74	110.84	0.38702	4.1319	4.1808	1500.4	-0.040220	0.00086210	0.60959	liquid
26.558	1.0000	996.64	0.0010034	111.33	111.44	0.38900	4.1314	4.1807	1500.8	-0.040203	0.00085938	0.60983	liquid
26.700	1.0000	996.60	0.0010034	111.93	112.03	0.39097	4.1308	4.1807	1501.1	-0.040186	0.00085668	0.61007	liquid
26.842	1.0000	996.56	0.0010035	112.52	112.62	0.39295	4.1302	4.1806	1501.5	-0.040169	0.00085398	0.61031	liquid
26.983	1.0000	996.52	0.0010035	113.11	113.21	0.39492	4.1296	4.1806	1501.9	-0.040152	0.00085130	0.61054	liquid
27.125	1.0000	996.48	0.0010035	113.70	113.80	0.39689	4.1291	4.1805	1502.2	-0.040135	0.00084864	0.61078	liquid
27.267	1.0000	996.44	0.0010036	114.30	114.40	0.39886	4.1285	4.1805	1502.6	-0.040118	0.00084599	0.61102	liquid
27.408	1.0000	996.40	0.0010036	114.89	114.99	0.40084	4.1279	4.1805	1502.9	-0.040101	0.00084335	0.61125	liquid
27.550	1.0000	996.36	0.0010037	115.48	115.58	0.40281	4.1273	4.1804	1503.3	-0.040084	0.00084073	0.61149	liquid
27.692	1.0000	996.32	0.0010037	116.07	116.17	0.40477	4.1268	4.1804	1503.6	-0.040067	0.00083811	0.61172	liquid
27.833	1.0000	996.28	0.0010037	116.66	116.77	0.40674	4.1262	4.1803	1504.0	-0.040050	0.00083552	0.61196	liquid
27.975	1.0000	996.24	0.0010038	117.26	117.36	0.40871	4.1256	4.1803	1504.3	-0.040033	0.00083293	0.61219	liquid
28.117	1.0000	996.20	0.0010038	117.85	117.95	0.41068	4.1250	4.1803	1504.7	-0.040017	0.00083036	0.61243	liquid
