Temperature (C)	Pressure (bar)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
25.000	1.0000	997.05	0.0010030	104.82	104.92	0.36720	4.1376	4.1813	1496.7	-0.022147	890.08	0.60719	liquid
26.042	1.0000	996.77	0.0010032	109.17	109.27	0.38178	4.1334	4.1809	1499.4	-0.022077	869.37	0.60896	liquid
27.083	1.0000	996.49	0.0010035	113.53	113.63	0.39631	4.1292	4.1806	1502.1	-0.022008	849.42	0.61071	liquid
28.125	1.0000	996.20	0.0010038	117.88	117.98	0.41079	4.1250	4.1803	1504.7	-0.021940	830.21	0.61244	liquid
29.167	1.0000	995.90	0.0010041	122.24	122.34	0.42522	4.1207	4.1800	1507.2	-0.021873	811.69	0.61415	liquid
30.208	1.0000	995.59	0.0010044	126.59	126.69	0.43960	4.1164	4.1798	1509.6	-0.021806	793.82	0.61584	liquid
31.250	1.0000	995.26	0.0010048	130.95	131.05	0.45392	4.1120	4.1796	1512.0	-0.021740	776.59	0.61750	liquid
32.292	1.0000	994.93	0.0010051	135.30	135.40	0.46820	4.1075	4.1795	1514.3	-0.021674	759.96	0.61915	liquid
33.333	1.0000	994.59	0.0010054	139.65	139.75	0.48243	4.1031	4.1794	1516.5	-0.021609	743.90	0.62077	liquid
34.375	1.0000	994.25	0.0010058	144.01	144.11	0.49661	4.0985	4.1793	1518.6	-0.021544	728.38	0.62237	liquid
35.417	1.0000	993.89	0.0010061	148.36	148.46	0.51074	4.0940	4.1792	1520.7	-0.021480	713.38	0.62395	liquid
36.458	1.0000	993.52	0.0010065	152.71	152.81	0.52483	4.0894	4.1792	1522.6	-0.021416	698.87	0.62551	liquid
37.500	1.0000	993.15	0.0010069	157.07	157.17	0.53887	4.0847	4.1793	1524.6	-0.021353	684.84	0.62704	liquid
38.542	1.0000	992.77	0.0010073	161.42	161.52	0.55286	4.0800	4.1793	1526.4	-0.021291	671.26	0.62855	liquid
39.583	1.0000	992.37	0.0010077	165.77	165.87	0.56680	4.0753	4.1794	1528.2	-0.021228	658.12	0.63004	liquid
40.625	1.0000	991.98	0.0010081	170.13	170.23	0.58070	4.0705	4.1795	1529.9	-0.021166	645.39	0.63150	liquid
41.667	1.0000	991.57	0.0010085	174.48	174.58	0.59455	4.0657	4.1796	1531.6	-0.021105	633.05	0.63294	liquid
42.708	1.0000	991.15	0.0010089	178.83	178.93	0.60836	4.0609	4.1797	1533.2	-0.021044	621.10	0.63436	liquid
43.750	1.0000	990.73	0.0010094	183.19	183.29	0.62212	4.0560	4.1799	1534.7	-0.020983	609.51	0.63575	liquid
44.792	1.0000	990.30	0.0010098	187.54	187.64	0.63584	4.0511	4.1801	1536.2	-0.020923	598.27	0.63711	liquid
45.833	1.0000	989.86	0.0010102	191.90	192.00	0.64951	4.0462	4.1803	1537.6	-0.020863	587.37	0.63846	liquid
46.875	1.0000	989.42	0.0010107	196.25	196.35	0.66314	4.0413	4.1805	1538.9	-0.020803	576.79	0.63978	liquid
47.917	1.0000	988.96	0.0010112	200.61	200.71	0.67673	4.0363	4.1808	1540.2	-0.020743	566.51	0.64107	liquid
48.958	1.0000	988.50	0.0010116	204.96	205.06	0.69027	4.0312	4.1811	1541.4	-0.020684	556.54	0.64235	liquid
