Temperature (C)	Pressure (bar)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
25.000	17.500	997.79	0.0010022	104.69	106.45	0.36677	4.1320	4.1766	1499.5	-0.022142	889.70	0.60794	liquid
26.042	17.500	997.52	0.0010025	109.04	110.80	0.38134	4.1280	4.1762	1502.2	-0.022073	869.04	0.60971	liquid
27.083	17.500	997.23	0.0010028	113.39	115.15	0.39585	4.1238	4.1759	1504.9	-0.022005	849.14	0.61146	liquid
28.125	17.500	996.94	0.0010031	117.74	119.50	0.41032	4.1197	4.1757	1507.5	-0.021937	829.98	0.61318	liquid
29.167	17.500	996.63	0.0010034	122.09	123.85	0.42473	4.1154	4.1755	1510.0	-0.021870	811.50	0.61489	liquid
30.208	17.500	996.32	0.0010037	126.44	128.20	0.43909	4.1111	4.1753	1512.4	-0.021803	793.68	0.61658	liquid
31.250	17.500	996.00	0.0010040	130.79	132.54	0.45340	4.1068	4.1752	1514.8	-0.021738	776.48	0.61825	liquid
32.292	17.500	995.66	0.0010044	135.14	136.89	0.46767	4.1024	4.1751	1517.1	-0.021672	759.89	0.61989	liquid
33.333	17.500	995.32	0.0010047	139.48	141.24	0.48188	4.0980	4.1751	1519.3	-0.021608	743.86	0.62152	liquid
34.375	17.500	994.97	0.0010051	143.83	145.59	0.49605	4.0936	4.1750	1521.4	-0.021543	728.37	0.62312	liquid
35.417	17.500	994.62	0.0010054	148.18	149.94	0.51016	4.0890	4.1750	1523.5	-0.021480	713.40	0.62470	liquid
36.458	17.500	994.25	0.0010058	152.53	154.29	0.52423	4.0845	4.1751	1525.5	-0.021417	698.92	0.62626	liquid
37.500	17.500	993.87	0.0010062	156.88	158.64	0.53826	4.0799	4.1751	1527.4	-0.021354	684.92	0.62779	liquid
38.542	17.500	993.49	0.0010066	161.23	162.99	0.55223	4.0753	4.1752	1529.3	-0.021292	671.36	0.62930	liquid
39.583	17.500	993.10	0.0010070	165.57	167.34	0.56617	4.0706	4.1753	1531.1	-0.021230	658.24	0.63079	liquid
40.625	17.500	992.70	0.0010074	169.92	171.69	0.58005	4.0659	4.1755	1532.8	-0.021168	645.53	0.63225	liquid
41.667	17.500	992.29	0.0010078	174.27	176.04	0.59389	4.0611	4.1756	1534.5	-0.021107	633.22	0.63369	liquid
42.708	17.500	991.87	0.0010082	178.62	180.39	0.60768	4.0564	4.1758	1536.1	-0.021046	621.29	0.63511	liquid
43.750	17.500	991.45	0.0010086	182.97	184.74	0.62143	4.0515	4.1760	1537.6	-0.020986	609.71	0.63650	liquid
44.792	17.500	991.02	0.0010091	187.32	189.09	0.63514	4.0467	4.1762	1539.1	-0.020926	598.49	0.63787	liquid
45.833	17.500	990.58	0.0010095	191.67	193.44	0.64880	4.0418	4.1764	1540.5	-0.020866	587.60	0.63922	liquid
46.875	17.500	990.13	0.0010100	196.02	197.79	0.66241	4.0369	4.1767	1541.8	-0.020807	577.04	0.64054	liquid
47.917	17.500	989.68	0.0010104	200.37	202.14	0.67599	4.0320	4.1770	1543.1	-0.020748	566.78	0.64184	liquid
48.958	17.500	989.22	0.0010109	204.72	206.49	0.68952	4.0270	4.1772	1544.4	-0.020689	556.81	0.64311	liquid
50.000	17.500	988.75	0.0010114	209.07	210.84	0.70300	4.0220	4.1776	1545.5	-0.020630	547.13	0.64436	liquid
51.042	17.500	988.28	0.0010119	213.42	215.19	0.71645	4.0169	4.1779	1546.7	-0.020572	537.73	0.64559	liquid
52.083	17.500	987.80	0.0010124	217.77	219.54	0.72985	4.0119	4.1782	1547.7	-0.020513	528.59	0.64679	liquid
53.125	17.500	987.31	0.0010129	222.12	223.90	0.74321	4.0068	4.1786	1548.7	-0.020455	519.70	0.64797	liquid
54.167	17.500	986.81	0.0010134	226.48	228.25	0.75653	4.0017	4.1789	1549.7	-0.020398	511.06	0.64912	liquid
55.208	17.500	986.31	0.0010139	230.83	232.60	0.76981	3.9966	4.1793	1550.6	-0.020340	502.65	0.65026	liquid
56.250	17.500	985.80	0.0010144	235.18	236.96	0.78305	3.9914	4.1797	1551.4	-0.020282	494.47	0.65137	liquid
57.292	17.500	985.29	0.0010149	239.53	241.31	0.79625	3.9862	4.1802	1552.2	-0.020225	486.50	0.65245	liquid
58.333	17.500	984.76	0.0010155	243.89	245.66	0.80940	3.9810	4.1806	1553.0	-0.020168	478.75	0.65352	liquid
59.375	17.500	984.24	0.0010160	248.24	250.02	0.82252	3.9758	4.1810	1553.6	-0.020111	471.20	0.65456	liquid
60.417	17.500	983.70	0.0010166	252.60	254.38	0.83560	3.9706	4.1815	1554.3	-0.020054	463.85	0.65558	liquid
61.458	17.500	983.16	0.0010171	256.95	258.73	0.84864	3.9653	4.1820	1554.9	-0.019997	456.68	0.65657	liquid
62.500	17.500	982.61	0.0010177	261.31	263.09	0.86164	3.9601	4.1825	1555.4	-0.019940	449.70	0.65755	liquid
63.542	17.500	982.06	0.0010183	265.66	267.44	0.87460	3.9548	4.1830	1555.9	-0.019883	442.90	0.65850	liquid
64.583	17.500	981.50	0.0010188	270.02	271.80	0.88752	3.9495	4.1835	1556.3	-0.019826	436.26	0.65943	liquid
65.625	17.500	980.93	0.0010194	274.38	276.16	0.90040	3.9441	4.1840	1556.7	-0.019769	429.79	0.66034	liquid
66.667	17.500	980.36	0.0010200	278.73	280.52	0.91325	3.9388	4.1846	1557.1	-0.019713	423.48	0.66123	liquid
67.708	17.500	979.78	0.0010206	283.09	284.88	0.92606	3.9335	4.1852	1557.4	-0.019656	417.33	0.66210	liquid
68.750	17.500	979.20	0.0010212	287.45	289.24	0.93883	3.9281	4.1858	1557.7	-0.019599	411.32	0.66295	liquid
69.792	17.500	978.61	0.0010219	291.81	293.60	0.95157	3.9227	4.1864	1557.9	-0.019542	405.46	0.66377	liquid
70.833	17.500	978.01	0.0010225	296.17	297.96	0.96426	3.9174	4.1870	1558.0	-0.019486	399.74	0.66458	liquid
71.875	17.500	977.41	0.0010231	300.53	302.32	0.97692	3.9120	4.1876	1558.2	-0.019429	394.15	0.66537	liquid
