Temperature (C)	Pressure (bar)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
25.000	1.0000	997.05	0.0010030	104.82	104.92	0.36720	4.1376	4.1813	1496.7	-0.022147	890.08	0.60719	liquid
25.000	2.0000	997.09	0.0010029	104.81	105.01	0.36717	4.1372	4.1810	1496.9	-0.022146	890.06	0.60724	liquid
25.000	3.0000	997.14	0.0010029	104.80	105.10	0.36715	4.1369	4.1807	1497.0	-0.022146	890.04	0.60728	liquid
25.000	4.0000	997.18	0.0010028	104.80	105.20	0.36712	4.1366	4.1805	1497.2	-0.022146	890.01	0.60733	liquid
25.000	5.0000	997.23	0.0010028	104.79	105.29	0.36710	4.1362	4.1802	1497.4	-0.022146	889.99	0.60738	liquid
25.000	6.0000	997.27	0.0010027	104.78	105.38	0.36707	4.1359	4.1799	1497.5	-0.022145	889.97	0.60742	liquid
25.000	7.0000	997.32	0.0010027	104.77	105.47	0.36704	4.1356	4.1796	1497.7	-0.022145	889.94	0.60747	liquid
25.000	8.0000	997.36	0.0010026	104.76	105.57	0.36702	4.1352	4.1793	1497.9	-0.022145	889.92	0.60751	liquid
25.000	9.0000	997.41	0.0010026	104.76	105.66	0.36699	4.1349	4.1790	1498.0	-0.022145	889.90	0.60756	liquid
25.000	10.000	997.45	0.0010026	104.75	105.75	0.36697	4.1345	4.1787	1498.2	-0.022144	889.87	0.60760	liquid
25.000	11.000	997.50	0.0010025	104.74	105.84	0.36694	4.1342	4.1784	1498.4	-0.022144	889.85	0.60765	liquid
25.000	12.000	997.54	0.0010025	104.73	105.94	0.36692	4.1339	4.1781	1498.5	-0.022144	889.83	0.60769	liquid
25.000	13.000	997.59	0.0010024	104.73	106.03	0.36689	4.1335	4.1779	1498.7	-0.022143	889.80	0.60774	liquid
25.000	14.000	997.63	0.0010024	104.72	106.12	0.36686	4.1332	4.1776	1498.9	-0.022143	889.78	0.60778	liquid
25.000	15.000	997.68	0.0010023	104.71	106.21	0.36684	4.1329	4.1773	1499.0	-0.022143	889.76	0.60783	liquid
25.000	16.000	997.72	0.0010023	104.70	106.31	0.36681	4.1325	4.1770	1499.2	-0.022143	889.73	0.60787	liquid
25.000	17.000	997.77	0.0010022	104.70	106.40	0.36679	4.1322	4.1767	1499.4	-0.022142	889.71	0.60792	liquid
25.000	18.000	997.81	0.0010022	104.69	106.49	0.36676	4.1319	4.1764	1499.5	-0.022142	889.69	0.60796	liquid
25.000	19.000	997.86	0.0010021	104.68	106.58	0.36673	4.1315	4.1761	1499.7	-0.022142	889.67	0.60801	liquid
25.000	20.000	997.90	0.0010021	104.67	106.68	0.36671	4.1312	4.1759	1499.9	-0.022142	889.64	0.60805	liquid
25.000	21.000	997.95	0.0010021	104.67	106.77	0.36668	4.1309	4.1756	1500.1	-0.022141	889.62	0.60810	liquid
25.000	22.000	997.99	0.0010020	104.66	106.86	0.36666	4.1305	4.1753	1500.2	-0.022141	889.60	0.60815	liquid
25.000	23.000	998.04	0.0010020	104.65	106.95	0.36663	4.1302	4.1750	1500.4	-0.022141	889.58	0.60819	liquid
25.000	24.000	998.08	0.0010019	104.64	107.05	0.36660	4.1299	4.1747	1500.6	-0.022140	889.55	0.60824	liquid
25.000	25.000	998.13	0.0010019	104.63	107.14	0.36658	4.1295	4.1744	1500.7	-0.022140	889.53	0.60828	liquid
25.000	26.000	998.17	0.0010018	104.63	107.23	0.36655	4.1292	4.1741	1500.9	-0.022140	889.51	0.60833	liquid
25.000	27.000	998.22	0.0010018	104.62	107.32	0.36653	4.1289	4.1739	1501.1	-0.022140	889.49	0.60837	liquid
25.000	28.000	998.26	0.0010017	104.61	107.42	0.36650	4.1285	4.1736	1501.2	-0.022139	889.46	0.60842	liquid
25.000	29.000	998.31	0.0010017	104.60	107.51	0.36647	4.1282	4.1733	1501.4	-0.022139	889.44	0.60846	liquid
25.000	30.000	998.35	0.0010017	104.60	107.60	0.36645	4.1279	4.1730	1501.6	-0.022139	889.42	0.60851	liquid
25.000	31.000	998.40	0.0010016	104.59	107.69	0.36642	4.1275	4.1727	1501.7	-0.022139	889.40	0.60855	liquid
25.000	32.000	998.44	0.0010016	104.58	107.79	0.36640	4.1272	4.1724	1501.9	-0.022138	889.38	0.60860	liquid
25.000	33.000	998.49	0.0010015	104.57	107.88	0.36637	4.1269	4.1722	1502.1	-0.022138	889.35	0.60864	liquid
25.000	34.000	998.53	0.0010015	104.57	107.97	0.36634	4.1266	4.1719	1502.2	-0.022138	889.33	0.60869	liquid
25.000	35.000	998.58	0.0010014	104.56	108.06	0.36632	4.1262	4.1716	1502.4	-0.022137	889.31	0.60873	liquid
25.000	36.000	998.62	0.0010014	104.55	108.16	0.36629	4.1259	4.1713	1502.6	-0.022137	889.29	0.60878	liquid
25.000	37.000	998.66	0.0010013	104.54	108.25	0.36626	4.1256	4.1710	1502.7	-0.022137	889.27	0.60883	liquid
25.000	38.000	998.71	0.0010013	104.54	108.34	0.36624	4.1252	4.1707	1502.9	-0.022137	889.25	0.60887	liquid
25.000	39.000	998.75	0.0010012	104.53	108.43	0.36621	4.1249	4.1705	1503.1	-0.022136	889.22	0.60892	liquid
25.000	40.000	998.80	0.0010012	104.52	108.52	0.36619	4.1246	4.1702	1503.2	-0.022136	889.20	0.60896	liquid
25.000	41.000	998.84	0.0010012	104.51	108.62	0.36616	4.1242	4.1699	1503.4	-0.022136	889.18	0.60901	liquid
25.000	42.000	998.89	0.0010011	104.50	108.71	0.36613	4.1239	4.1696	1503.6	-0.022135	889.16	0.60905	liquid
25.000	43.000	998.93	0.0010011	104.50	108.80	0.36611	4.1236	4.1693	1503.7	-0.022135	889.14	0.60910	liquid
25.000	44.000	998.98	0.0010010	104.49	108.89	0.36608	4.1233	4.1691	1503.9	-0.022135	889.12	0.60914	liquid
25.000	45.000	999.02	0.0010010	104.48	108.99	0.36605	4.1229	4.1688	1504.1	-0.022135	889.10	0.60919	liquid
