Temperature (K)	Pressure (bar)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
273.16	1.0000	999.84	0.0010002	3.3200e-05	0.0018350	0.00012137	75.970	76.014	1402.4	-0.024141	1790.9	0.56109	liquid
274.83	1.0000	999.93	0.0010001	0.12662	0.12842	0.46213	75.902	75.916	1410.7	-0.023981	1691.7	0.56426	liquid
276.49	1.0000	999.97	0.0010000	0.25305	0.25486	0.92079	75.829	75.830	1418.6	-0.023825	1600.9	0.56742	liquid
278.16	1.0000	999.97	0.0010000	0.37935	0.38116	1.3762	75.752	75.755	1426.2	-0.023675	1517.7	0.57059	liquid
279.83	1.0000	999.92	0.0010001	0.50553	0.50734	1.8285	75.670	75.688	1433.5	-0.023529	1441.2	0.57376	liquid
281.49	1.0000	999.83	0.0010002	0.63161	0.63341	2.2777	75.584	75.629	1440.6	-0.023387	1370.7	0.57692	liquid
283.16	1.0000	999.70	0.0010003	0.75759	0.75939	2.7239	75.494	75.577	1447.3	-0.023250	1305.6	0.58006	liquid
284.82	1.0000	999.54	0.0010005	0.88349	0.88530	3.1673	75.400	75.531	1453.8	-0.023116	1245.3	0.58319	liquid
286.49	1.0000	999.34	0.0010007	1.0093	1.0111	3.6078	75.303	75.491	1460.0	-0.022985	1189.3	0.58631	liquid
288.16	1.0000	999.10	0.0010009	1.1351	1.1369	4.0455	75.203	75.456	1466.0	-0.022857	1137.3	0.58939	liquid
289.82	1.0000	998.83	0.0010012	1.2608	1.2626	4.4805	75.099	75.426	1471.7	-0.022733	1088.9	0.59245	liquid
291.49	1.0000	998.53	0.0010015	1.3865	1.3883	4.9129	74.993	75.399	1477.1	-0.022611	1043.7	0.59548	liquid
293.16	1.0000	998.21	0.0010018	1.5121	1.5139	5.3426	74.883	75.377	1482.4	-0.022491	1001.4	0.59847	liquid
294.82	1.0000	997.85	0.0010022	1.6377	1.6395	5.7698	74.771	75.357	1487.4	-0.022374	961.88	0.60143	liquid
296.49	1.0000	997.46	0.0010025	1.7633	1.7651	6.1945	74.656	75.341	1492.2	-0.022259	924.79	0.60434	liquid
298.16	1.0000	997.05	0.0010030	1.8888	1.8906	6.6167	74.539	75.328	1496.7	-0.022146	889.96	0.60720	liquid
299.82	1.0000	996.60	0.0010034	2.0143	2.0161	7.0365	74.419	75.316	1501.1	-0.022035	857.20	0.61002	liquid
301.49	1.0000	996.14	0.0010039	2.1398	2.1416	7.4539	74.297	75.307	1505.2	-0.021926	826.35	0.61279	liquid
303.16	1.0000	995.65	0.0010044	2.2653	2.2671	7.8690	74.173	75.301	1509.2	-0.021819	797.26	0.61551	liquid
304.82	1.0000	995.13	0.0010049	2.3908	2.3926	8.2818	74.046	75.296	1512.9	-0.021713	769.79	0.61817	liquid
306.49	1.0000	994.59	0.0010054	2.5162	2.5180	8.6923	73.917	75.292	1516.5	-0.021608	743.82	0.62078	liquid
308.15	1.0000	994.03	0.0010060	2.6417	2.6435	9.1005	73.787	75.291	1519.9	-0.021505	719.25	0.62333	liquid
309.82	1.0000	993.45	0.0010066	2.7672	2.7690	9.5066	73.654	75.290	1523.0	-0.021404	695.97	0.62582	liquid
311.49	1.0000	992.84	0.0010072	2.8926	2.8944	9.9105	73.519	75.291	1526.1	-0.021303	673.89	0.62826	liquid
313.15	1.0000	992.21	0.0010078	3.0181	3.0199	10.312	73.383	75.293	1528.9	-0.021203	652.93	0.63063	liquid
314.82	1.0000	991.57	0.0010085	3.1436	3.1454	10.712	73.245	75.297	1531.6	-0.021105	633.02	0.63295	liquid
316.49	1.0000	990.90	0.0010092	3.2690	3.2709	11.109	73.106	75.301	1534.1	-0.021007	614.07	0.63520	liquid
318.15	1.0000	990.21	0.0010099	3.3945	3.3963	11.505	72.965	75.306	1536.4	-0.020910	596.04	0.63739	liquid
319.82	1.0000	989.50	0.0010106	3.5200	3.5218	11.898	72.822	75.313	1538.6	-0.020814	578.85	0.63952	liquid
321.49	1.0000	988.78	0.0010113	3.6455	3.6473	12.290	72.678	75.320	1540.7	-0.020719	562.47	0.64159	liquid
323.15	1.0000	988.03	0.0010121	3.7710	3.7729	12.679	72.533	75.328	1542.6	-0.020625	546.83	0.64360	liquid
324.82	1.0000	987.27	0.0010129	3.8966	3.8984	13.067	72.386	75.337	1544.3	-0.020531	531.89	0.64554	liquid
326.48	1.0000	986.49	0.0010137	4.0221	4.0239	13.452	72.238	75.347	1545.9	-0.020437	517.62	0.64743	liquid
328.15	1.0000	985.69	0.0010145	4.1477	4.1495	13.836	72.090	75.357	1547.4	-0.020344	503.97	0.64926	liquid
329.82	1.0000	984.88	0.0010154	4.2733	4.2751	14.217	71.940	75.368	1548.7	-0.020251	490.90	0.65102	liquid
331.48	1.0000	984.04	0.0010162	4.3989	4.4007	14.597	71.789	75.380	1549.9	-0.020159	478.39	0.65273	liquid
333.15	1.0000	983.20	0.0010171	4.5245	4.5263	14.975	71.637	75.393	1551.0	-0.020067	466.39	0.65439	liquid
334.82	1.0000	982.33	0.0010180	4.6501	4.6520	15.351	71.485	75.407	1551.9	-0.019975	454.89	0.65598	liquid
336.48	1.0000	981.45	0.0010189	4.7758	4.7776	15.726	71.331	75.421	1552.7	-0.019883	443.86	0.65752	liquid
338.15	1.0000	980.55	0.0010198	4.9015	4.9033	16.099	71.177	75.436	1553.4	-0.019792	433.26	0.65900	liquid
339.82	1.0000	979.64	0.0010208	5.0272	5.0291	16.469	71.023	75.451	1554.0	-0.019700	423.09	0.66043	liquid
341.48	1.0000	978.71	0.0010218	5.1530	5.1548	16.839	70.868	75.468	1554.4	-0.019609	413.30	0.66180	liquid
343.15	1.0000	977.76	0.0010227	5.2787	5.2806	17.206	70.712	75.485	1554.7	-0.019518	403.90	0.66313	liquid
344.82	1.0000	976.81	0.0010237	5.4045	5.4064	17.572	70.556	75.503	1555.0	-0.019426	394.85	0.66440	liquid
346.48	1.0000	975.83	0.0010248	5.5304	5.5322	17.936	70.399	75.522	1555.1	-0.019335	386.14	0.66562	liquid
348.15	1.0000	974.84	0.0010258	5.6562	5.6581	18.298	70.242	75.542	1555.1	-0.019243	377.75	0.66679	liquid
349.81	1.0000	973.84	0.0010269	5.7821	5.7840	18.659	70.085	75.562	1555.0	-0.019151	369.67	0.66791	liquid
351.48	1.0000	972.82	0.0010279	5.9081	5.9099	19.018	69.928	75.583	1554.7	-0.019059	361.87	0.66898	liquid
353.15	1.0000	971.79	0.0010290	6.0340	6.0359	19.376	69.771	75.606	1554.4	-0.018966	354.36	0.67001	liquid
354.81	1.0000	970.75	0.0010301	6.1600	6.1619	19.732	69.613	75.629	1554.0	-0.018873	347.11	0.67100	liquid
356.48	1.0000	969.69	0.0010313	6.2861	6.2879	20.086	69.455	75.653	1553.5	-0.018780	340.11	0.67193	liquid
358.15	1.0000	968.61	0.0010324	6.4122	6.4140	20.439	69.298	75.678	1552.9	-0.018687	333.36	0.67283	liquid
359.81	1.0000	967.53	0.0010336	6.5383	6.5402	20.790	69.140	75.703	1552.2	-0.018593	326.83	0.67368	liquid
361.48	1.0000	966.43	0.0010347	6.6645	6.6663	21.140	68.982	75.730	1551.4	-0.018498	320.52	0.67449	liquid
363.15	1.0000	965.31	0.0010359	6.7907	6.7925	21.488	68.825	75.758	1550.5	-0.018403	314.42	0.67527	liquid
364.81	1.0000	964.18	0.0010371	6.9169	6.9188	21.835	68.668	75.787	1549.5	-0.018307	308.53	0.67600	liquid
366.48	1.0000	963.04	0.0010384	7.0433	7.0451	22.181	68.511	75.816	1548.4	-0.018211	302.82	0.67669	liquid
368.14	1.0000	961.89	0.0010396	7.1696	7.1715	22.525	68.354	75.847	1547.2	-0.018114	297.30	0.67734	liquid
369.81	1.0000	960.72	0.0010409	7.2960	7.2979	22.867	68.197	75.879	1545.9	-0.018017	291.95	0.67796	liquid
371.48	1.0000	959.54	0.0010422	7.4225	7.4244	23.209	68.041	75.912	1544.6	-0.017918	286.78	0.67854	liquid
372.76	1.0000	958.63	0.0010432	7.5196	7.5214	23.470	67.921	75.938	1543.5	-0.017843	282.91	0.67897	liquid
372.76	1.0000	0.59034	1.6939	45.138	48.190	132.57	28.010	37.444	471.99	6.7038	12.256	0.025053	vapor
373.14	1.0000	0.58968	1.6958	45.149	48.204	132.61	27.987	37.411	472.27	6.6644	12.270	0.025078	vapor
374.81	1.0000	0.58685	1.7040	45.197	48.267	132.78	27.895	37.280	473.46	6.5012	12.332	0.025190	vapor
376.48	1.0000	0.58405	1.7122	45.244	48.329	132.94	27.813	37.162	474.63	6.3469	12.394	0.025303	vapor
378.14	1.0000	0.58128	1.7203	45.291	48.391	133.11	27.739	37.054	475.79	6.2003	12.457	0.025418	vapor
379.81	1.0000	0.57855	1.7285	45.338	48.452	133.27	27.671	36.954	476.95	6.0605	12.519	0.025533	vapor
381.48	1.0000	0.57584	1.7366	45.385	48.514	133.43	27.610	36.863	478.09	5.9268	12.581	0.025649	vapor
383.14	1.0000	0.57316	1.7447	45.432	48.575	133.59	27.553	36.778	479.22	5.7985	12.644	0.025767	vapor
384.81	1.0000	0.57052	1.7528	45.479	48.636	133.75	27.501	36.699	480.34	5.6752	12.707	0.025885	vapor
386.48	1.0000	0.56790	1.7609	45.525	48.697	133.91	27.454	36.626	481.46	5.5564	12.770	0.026004	vapor
388.14	1.0000	0.56530	1.7690	45.571	48.758	134.07	27.409	36.557	482.57	5.4418	12.833	0.026125	vapor
389.81	1.0000	0.56274	1.7770	45.618	48.819	134.22	27.368	36.492	483.68	5.3311	12.896	0.026246	vapor
391.47	1.0000	0.56020	1.7851	45.664	48.880	134.38	27.329	36.431	484.78	5.2239	12.959	0.026368	vapor
393.14	1.0000	0.55769	1.7931	45.710	48.941	134.53	27.294	36.374	485.87	5.1202	13.023	0.026492	vapor
394.81	1.0000	0.55520	1.8012	45.756	49.001	134.69	27.260	36.320	486.95	5.0197	13.086	0.026616	vapor
396.47	1.0000	0.55274	1.8092	45.802	49.062	134.84	27.229	36.269	488.04	4.9223	13.150	0.026741	vapor
398.14	1.0000	0.55030	1.8172	45.848	49.122	134.99	27.200	36.221	489.11	4.8277	13.214	0.026867	vapor
399.81	1.0000	0.54788	1.8252	45.894	49.182	135.14	27.173	36.175	490.18	4.7359	13.277	0.026994	vapor
401.47	1.0000	0.54549	1.8332	45.940	49.243	135.29	27.148	36.133	491.25	4.6468	13.341	0.027121	vapor
403.14	1.0000	0.54313	1.8412	45.986	49.303	135.44	27.124	36.092	492.31	4.5602	13.405	0.027250	vapor
404.81	1.0000	0.54078	1.8492	46.032	49.363	135.59	27.103	36.054	493.37	4.4760	13.470	0.027379	vapor
406.47	1.0000	0.53846	1.8572	46.077	49.423	135.74	27.082	36.018	494.42	4.3941	13.534	0.027510	vapor
408.14	1.0000	0.53616	1.8651	46.123	49.483	135.89	27.064	35.984	495.47	4.3145	13.598	0.027641	vapor
